sepal_length,sepal_width,petal_length,petal_width,class
5.1,setosa,setosa,setosa,setosa
4.9,setosa,setosa,setosa,setosa
4.7,setosa,setosa,setosa,setosa
4.6,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
5.4,setosa,setosa,setosa,setosa
4.6,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
4.4,setosa,setosa,setosa,setosa
4.9,setosa,setosa,setosa,setosa
5.4,setosa,setosa,setosa,setosa
4.8,setosa,setosa,setosa,setosa
4.8,setosa,setosa,setosa,setosa
4.3,setosa,setosa,setosa,setosa
5.8,setosa,setosa,setosa,setosa
5.7,setosa,setosa,setosa,setosa
5.4,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
5.7,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
5.4,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
4.6,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
4.8,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
5.2,setosa,setosa,setosa,setosa
5.2,setosa,setosa,setosa,setosa
4.7,setosa,setosa,setosa,setosa
4.8,setosa,setosa,setosa,setosa
5.4,setosa,setosa,setosa,setosa
5.2,setosa,setosa,setosa,setosa
5.5,setosa,setosa,setosa,setosa
4.9,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
5.5,setosa,setosa,setosa,setosa
4.9,setosa,setosa,setosa,setosa
4.4,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
4.5,setosa,setosa,setosa,setosa
4.4,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
4.8,setosa,setosa,setosa,setosa
5.1,setosa,setosa,setosa,setosa
4.6,setosa,setosa,setosa,setosa
5.3,setosa,setosa,setosa,setosa
5.0,setosa,setosa,setosa,setosa
7.0,versicolor,versicolor,versicolor,versicolor
6.4,versicolor,versicolor,versicolor,versicolor
6.9,versicolor,versicolor,versicolor,versicolor
5.5,versicolor,versicolor,versicolor,versicolor
6.5,versicolor,versicolor,versicolor,versicolor
5.7,versicolor,versicolor,versicolor,versicolor
6.3,versicolor,versicolor,versicolor,versicolor
4.9,versicolor,versicolor,versicolor,versicolor
6.6,versicolor,versicolor,versicolor,versicolor
5.2,versicolor,versicolor,versicolor,versicolor
5.0,versicolor,versicolor,versicolor,versicolor
5.9,versicolor,versicolor,versicolor,versicolor
6.0,versicolor,versicolor,versicolor,versicolor
6.1,versicolor,versicolor,versicolor,versicolor
5.6,versicolor,versicolor,versicolor,versicolor
6.7,versicolor,versicolor,versicolor,versicolor
5.6,versicolor,versicolor,versicolor,versicolor
5.8,versicolor,versicolor,versicolor,versicolor
6.2,versicolor,versicolor,versicolor,versicolor
5.6,versicolor,versicolor,versicolor,versicolor
5.9,versicolor,versicolor,versicolor,versicolor
6.1,versicolor,versicolor,versicolor,versicolor
6.3,versicolor,versicolor,versicolor,versicolor
6.1,versicolor,versicolor,versicolor,versicolor
6.4,versicolor,versicolor,versicolor,versicolor
6.6,versicolor,versicolor,versicolor,versicolor
6.8,versicolor,versicolor,versicolor,versicolor
6.7,versicolor,versicolor,versicolor,versicolor
6.0,versicolor,versicolor,versicolor,versicolor
5.7,versicolor,versicolor,versicolor,versicolor
5.5,versicolor,versicolor,versicolor,versicolor
5.5,versicolor,versicolor,versicolor,versicolor
5.8,versicolor,versicolor,versicolor,versicolor
6.0,versicolor,versicolor,versicolor,versicolor
5.4,versicolor,versicolor,versicolor,versicolor
6.0,versicolor,versicolor,versicolor,versicolor
6.7,versicolor,versicolor,versicolor,versicolor
6.3,versicolor,versicolor,versicolor,versicolor
5.6,versicolor,versicolor,versicolor,versicolor
5.5,versicolor,versicolor,versicolor,versicolor
5.5,versicolor,versicolor,versicolor,versicolor
6.1,versicolor,versicolor,versicolor,versicolor
5.8,versicolor,versicolor,versicolor,versicolor
5.0,versicolor,versicolor,versicolor,versicolor
5.6,versicolor,versicolor,versicolor,versicolor
5.7,versicolor,versicolor,versicolor,versicolor
5.7,versicolor,versicolor,versicolor,versicolor
6.2,versicolor,versicolor,versicolor,versicolor
5.1,versicolor,versicolor,versicolor,versicolor
5.7,versicolor,versicolor,versicolor,versicolor
6.3,virginica,virginica,virginica,virginica
5.8,virginica,virginica,virginica,virginica
7.1,virginica,virginica,virginica,virginica
6.3,virginica,virginica,virginica,virginica
6.5,virginica,virginica,virginica,virginica
7.6,virginica,virginica,virginica,virginica
4.9,virginica,virginica,virginica,virginica
7.3,virginica,virginica,virginica,virginica
6.7,virginica,virginica,virginica,virginica
7.2,virginica,virginica,virginica,virginica
6.5,virginica,virginica,virginica,virginica
6.4,virginica,virginica,virginica,virginica
6.8,virginica,virginica,virginica,virginica
5.7,virginica,virginica,virginica,virginica
5.8,virginica,virginica,virginica,virginica
6.4,virginica,virginica,virginica,virginica
6.5,virginica,virginica,virginica,virginica
7.7,virginica,virginica,virginica,virginica
7.7,virginica,virginica,virginica,virginica
6.0,virginica,virginica,virginica,virginica
6.9,virginica,virginica,virginica,virginica
5.6,virginica,virginica,virginica,virginica
7.7,virginica,virginica,virginica,virginica
6.3,virginica,virginica,virginica,virginica
6.7,virginica,virginica,virginica,virginica
7.2,virginica,virginica,virginica,virginica
6.2,virginica,virginica,virginica,virginica
6.1,virginica,virginica,virginica,virginica
6.4,virginica,virginica,virginica,virginica
7.2,virginica,virginica,virginica,virginica
7.4,virginica,virginica,virginica,virginica
7.9,virginica,virginica,virginica,virginica
6.4,virginica,virginica,virginica,virginica
6.3,virginica,virginica,virginica,virginica
6.1,virginica,virginica,virginica,virginica
7.7,virginica,virginica,virginica,virginica
6.3,virginica,virginica,virginica,virginica
6.4,virginica,virginica,virginica,virginica
6.0,virginica,virginica,virginica,virginica
6.9,virginica,virginica,virginica,virginica
6.7,virginica,virginica,virginica,virginica
6.9,virginica,virginica,virginica,virginica
5.8,virginica,virginica,virginica,virginica
6.8,virginica,virginica,virginica,virginica
6.7,virginica,virginica,virginica,virginica
6.7,virginica,virginica,virginica,virginica
6.3,virginica,virginica,virginica,virginica
6.5,virginica,virginica,virginica,virginica
6.2,virginica,virginica,virginica,virginica
5.9,virginica,virginica,virginica,virginica
